Duration (in seconds),ResponseId,UserLanguage,question,response
17,R_12FlgFNxXo0LoXE,EN,Q1,2
36,R_114oBJAOyFM8b8J,EN,Q1,3
14,R_1e4lQOt6vr8ZxFn,EN,Q1,3
47,R_1DHnHhdQxsT9gT7,EN,Q1,1
19,R_1NQbXvVyZpylLHe,EN,Q1,2
64,R_1m4JqrysZtIqfYJ,EN,Q1,2
17,R_12FlgFNxXo0LoXE,EN,Q2,3
36,R_114oBJAOyFM8b8J,EN,Q2,4
14,R_1e4lQOt6vr8ZxFn,EN,Q2,5
47,R_1DHnHhdQxsT9gT7,EN,Q2,1
19,R_1NQbXvVyZpylLHe,EN,Q2,2
64,R_1m4JqrysZtIqfYJ,EN,Q2,4
17,R_12FlgFNxXo0LoXE,EN,Q3,1
36,R_114oBJAOyFM8b8J,EN,Q3,1
14,R_1e4lQOt6vr8ZxFn,EN,Q3,1
47,R_1DHnHhdQxsT9gT7,EN,Q3,1
19,R_1NQbXvVyZpylLHe,EN,Q3,1
64,R_1m4JqrysZtIqfYJ,EN,Q3,2
17,R_12FlgFNxXo0LoXE,EN,Q4_1,49
36,R_114oBJAOyFM8b8J,EN,Q4_1,7
14,R_1e4lQOt6vr8ZxFn,EN,Q4_1,31
47,R_1DHnHhdQxsT9gT7,EN,Q4_1,30
19,R_1NQbXvVyZpylLHe,EN,Q4_1,87
64,R_1m4JqrysZtIqfYJ,EN,Q4_1,81
17,R_12FlgFNxXo0LoXE,EN,Q5,6
36,R_114oBJAOyFM8b8J,EN,Q5,3
14,R_1e4lQOt6vr8ZxFn,EN,Q5,6
47,R_1DHnHhdQxsT9gT7,EN,Q5,6
19,R_1NQbXvVyZpylLHe,EN,Q5,9
64,R_1m4JqrysZtIqfYJ,EN,Q5,8
17,R_12FlgFNxXo0LoXE,EN,Q7,34
36,R_114oBJAOyFM8b8J,EN,Q7,9
14,R_1e4lQOt6vr8ZxFn,EN,Q7,54
47,R_1DHnHhdQxsT9gT7,EN,Q7,23
19,R_1NQbXvVyZpylLHe,EN,Q7,0
64,R_1m4JqrysZtIqfYJ,EN,Q7,876
